noop,ycall-registration-minimal,ycall-deregistration-minimal,fork-simple,fork-ycall,vfork-simple,vfork-ycall
30,5535,7676,39615,44291,12484,11573
29,6587,7698,39855,46143,12746,11367
30,6256,7688,44115,42450,12504,15905
29,5941,7606,41314,44183,11983,10692
29,6306,7626,44243,45488,12512,11377
29,6339,7727,44948,43489,12877,10922
29,5948,7568,42583,42288,12825,13392
30,6335,7579,42508,46602,12761,10991
30,7047,7673,41913,43167,12641,10734
29,6316,7601,38276,41946,12350,11169
30,6325,7607,39605,46921,13009,13866
29,5874,7594,41511,42350,12103,10718
30,6310,7573,38694,42474,12811,14342
30,6338,7614,38550,43156,12412,11252
30,5975,7673,40627,47170,13423,14372
30,6315,7619,44129,42326,13550,10962
29,5465,7739,39042,42545,12028,12314
29,6681,7637,38720,47109,12234,11289
29,6272,7676,42075,42986,12882,14942
30,5512,7558,39943,42124,12084,10746
29,6761,7582,41972,44435,15817,10312
29,6248,7796,45155,44404,12488,10941
30,6008,7669,45116,41696,12462,13909
29,5819,7688,42068,42303,12735,11323
31,6233,7523,44514,45902,12695,10867
29,6326,7606,43409,44922,13330,11149
29,6253,7542,38576,41105,12478,13040
29,5887,7635,39815,45525,12835,13610
29,6279,7570,43861,41830,11722,11266
30,6306,7611,39806,43263,12732,10770
29,6074,7763,39216,45662,12542,15262
29,6319,7629,43704,41701,12500,11056
30,5928,7740,40489,42770,12318,11225
29,6215,7708,41794,44881,12369,13073
29,6243,7524,39574,48492,12026,16419
30,5445,7754,42835,50415,12395,12469
29,6879,7686,40025,43492,12270,12292
29,6122,7646,40422,47976,11801,11269
30,6149,7607,44384,43624,13232,15561
30,6581,7616,40972,42907,12642,10884
30,6078,7636,40098,45848,12889,11603
31,6312,7587,43111,44036,12383,11946
32,5745,7658,41240,42065,13359,15250
30,6705,7636,40051,47055,12570,16032
30,6322,7598,40737,42487,12870,13699
30,6146,7517,43395,44039,12569,10649
30,6229,7599,39746,41611,12756,14428
30,6331,7542,39536,47212,12523,10972
30,5881,7720,45349,41867,13326,10632
30,6342,7554,38750,43854,12458,11275
30,6142,7491,38492,46482,16261,14369
29,6043,7585,42316,42553,12096,10710
29,6342,7686,40774,45682,13248,11297
29,6242,7574,38654,50520,11723,10824
30,6087,7599,43504,46042,12031,14552
30,6357,7675,39277,44533,11491,11867
30,5843,7600,40777,43662,11569,10603
29,6317,7609,41181,50038,11673,11025
29,6119,7551,42202,47111,11952,20126
30,6047,7641,38230,44128,11887,11127
29,6253,7700,40259,47050,11693,10579
29,6187,7637,42655,40985,11322,10670
29,6060,7688,37880,43720,11754,15129
29,5781,7610,38797,47124,12250,11007
30,6189,7656,43238,44256,15215,11609
30,6238,7705,37641,43085,16490,10927
29,6221,7656,39156,42697,12363,13552
29,6131,7618,38370,46748,12067,11378
29,6317,7708,43520,45266,12338,10737
29,6108,7660,38427,45653,11840,10533
29,6071,7672,39264,48764,11949,14676
29,7460,7505,41728,43495,11790,11360
29,5488,7672,39659,42286,11638,13450
29,6600,7617,37786,46415,11986,12279
29,6144,7713,41192,42497,12142,18304
29,5945,7668,40826,42535,11519,11001
30,6764,7615,39752,46249,11880,10706
29,5799,7654,39524,46770,11758,11419
29,6073,7557,43564,42498,14237,14659
29,6351,7604,38983,44403,13088,11504
29,5996,7656,38952,48553,12861,10596
30,6332,7666,42593,42785,16293,11011
30,6288,7714,39025,43905,12414,15113
29,6089,7563,39124,47604,12403,10848
29,6250,7605,42334,42934,13336,11805
29,6165,7638,38726,42669,12184,11029
29,6083,7563,38518,42725,12033,15830
30,5761,7745,40543,46356,12206,11278
29,6324,7553,39931,42866,12208,12288
29,6288,7636,43824,187238,12269,13425
30,6179,7605,44550,52638,12988,14070
29,5945,7506,42947,149969,12973,10818
30,5837,7664,38977,70311,13850,10826
30,6484,7611,38854,61760,12256,11577
30,5970,7631,42008,57854,13104,13235
29,6374,7528,38088,55594,13271,10895
30,5906,7542,38381,64558,12480,11510
29,6327,7670,41139,58259,15726,11791
30,6200,7692,39701,58760,12243,13458
29,6154,7679,38603,59328,11996,10997
30,6277,7609,39206,69351,11746,12598
29,6238,7623,43074,60082,11941,10890
30,6190,7621,39131,59876,11780,12479
29,6357,7552,39108,74017,11843,10984
30,6175,7666,42203,62108,12340,10827
30,6359,7593,38588,58372,12664,15530
29,6222,7691,39919,65969,14512,14849
30,6058,7628,42240,58640,12122,10646
30,6753,7604,39702,61492,12791,10771
29,6258,7658,39025,63725,12491,10864
29,6312,7731,39104,67505,13162,13479
30,6281,7512,40851,59171,12395,10978
29,5902,7650,38621,59500,22643,11406
29,6358,7547,38475,66069,13910,10392
30,6171,7723,42771,59721,14684,15287
30,6133,7638,39216,58026,12796,11294
